ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
JNJ,19.766924,17.755196,6.2036,5.343909,16.279,,0.33619,0.08264,0.27259,0.30200002,0.68355006,57.766,1.074,0.711,0.068,0.91,492435832832,10.34,11.51156,32.947,2.54,0.333,Healthcare,2026-01-11
LLY,52.084232,32.34483,40.04368,16.045755,34.287,,0.9647,0.17603001,0.30986,0.48294,0.83029,178.516,1.546,0.724,0.539,4.804,953435619328,20.42,32.88192,26.56,0.59,0.347,Healthcare,2026-01-11
PFE,14.813953,8.539417,1.5611789,2.3074274,7.855,,0.105979994,0.05189,0.15654999,0.35277,0.74808,66.531,1.282,0.904,-0.059,-0.213,144871833600,1.72,2.98381,16.321,6.75,0.433,Healthcare,2026-01-11
ABBV,166.72726,15.455816,-147.21071,6.5214605,15.319,,1.37961,0.09585,0.04004,0.35497,0.71461,,0.725,0.468,0.091,-0.887,388965990400,1.32,14.2393,-1.495,3.14,0.35,Healthcare,2026-01-11
MRK,14.62037,14.824263,5.3024707,4.2979684,9.439,,0.39485002,0.13755,0.29632,0.40802,0.77852,79.708,1.661,1.09,0.037,0.87,276080001024,7.56,7.45602,20.845,3.08,0.298,Healthcare,2026-01-11
TMO,35.710327,25.101524,4.557411,5.3162313,24.438,,0.13116999,0.04942,0.15022,0.19277,0.41389,69.75,1.498,0.946,0.049,0.005,232510685184,17.33,24.65428,135.792,0.28,0.91,Healthcare,2026-01-11
ABT,15.819096,22.17897,4.297171,4.9987135,19.112,,0.3062,0.067930005,0.3188,0.19395,0.56259996,25.31,1.703,1.088,0.069,0.0,219158593536,7.96,5.67745,29.303,2.0,0.72,Healthcare,2026-01-11
DHR,49.04732,28.303389,3.2965922,7.033345,24.251,,0.06843,0.040570002,0.14435,0.2075,0.59593,35.544,1.519,0.835,0.044,0.134,170685218816,4.86,8.42196,72.308,0.54,0.929,Healthcare,2026-01-11
BMY,18.80808,9.285394,6.1303773,2.3674307,7.717,,0.33777002,0.0939,0.12572,0.31566,0.73146003,274.414,1.266,1.106,0.028,0.809,113717166080,2.97,6.0159,9.112,4.51,0.295,Healthcare,2026-01-11
AMGN,25.181469,14.850376,18.255611,4.88167,13.394,,0.8171,0.07706,0.19474001,0.34153,0.70051,567.491,1.28,0.823,0.124,0.136,175598534656,12.95,21.95904,17.863,2.96,0.45,Healthcare,2026-01-11
GILD,18.775194,13.805824,6.982644,5.1659403,11.786,,0.40706003,0.12571,0.27882,0.45231,0.78716004,116.243,1.453,1.105,0.03,1.43,150261710848,6.45,8.77166,17.343,2.61,0.349,Healthcare,2026-01-11
MDT,26.430893,15.959404,2.5698926,3.5989857,15.252,,0.09822,0.04685,0.13706,0.20299,0.65576,59.563,2.415,1.481,0.066,0.081,125093543936,3.69,6.11113,37.951,2.91,0.729,Healthcare,2026-01-11
CVS,211.3158,11.205585,1.39837,0.26024517,11.702,,0.0057800002,0.02498,0.0011999999,0.022650002,0.13352,111.821,0.832,0.594,0.078,,101935431680,0.38,7.16607,57.424,3.31,0.484,Healthcare,2026-01-11
ELV,15.198939,13.868936,1.8834174,0.43092713,8.838,,0.12569,0.04242,0.028399998,0.034649998,0.26261,72.823,1.56,1.433,0.123,0.22,83953221632,24.53,26.88238,197.954,1.83,0.518,Healthcare,2026-01-11
CI,12.348385,9.157007,1.7789272,0.27796024,8.743,,0.15538,0.0395,0.02293,0.04,0.09551,81.021,0.828,0.687,0.095,1.654,74514751488,22.59,30.46301,156.808,2.17,0.269,Healthcare,2026-01-11
ISRG,77.544975,60.096912,12.289373,21.863634,59.504,,0.16902,0.09561,0.28577998,0.30326,0.66376996,,4.728,3.49,0.229,0.25,210153259008,7.56,9.75491,47.703,,1.672,Healthcare,2026-01-11
REGN,19.083612,17.587433,2.6450624,5.925427,17.476,,0.15188,0.06157,0.32131,0.29563,0.45832002,8.739,4.063,3.193,0.009,0.18,84424294400,41.74,45.29086,301.146,0.44,0.389,Healthcare,2026-01-11
